analysis	scenario	voll	c_visit	contrast	n	mean	mean_ci95_low	mean_ci95_high	sample_sd	median	q1	q3	iqr	p05	p95	wins	ties	losses	sign_pvalue	es90_a_minus_es90_b	es90_difference
P1	200 mondes	1.0		Recale-RB2	200	2.2733633333333336	2.0965917500000004	2.4545975416666668	1.2915249359492333	2.161000000000005	1.3608333333333373	2.9402499999999954	1.579416666666658	0.1317166666666623	5.133066666666665	6	0	194	1.0580407265197449e-49	3.0733500000000333	5.033400000000002
P1	200 mondes	1.0		Sched-Recale	200	-2.1004133333333335	-2.245988958333333	-1.9563822083333338	1.0553134782604174	-1.8615000000000066	-2.856083333333336	-1.3040833333333346	1.5520000000000014	-3.975066666666673	-0.5401333333333421	200	0	0	1.2446030555722283e-60	-2.4414666666666847	-0.5152166666666673
P1	200 mondes	1.0		SoH-Sched	200	-0.5950733333333338	-0.6663271250000011	-0.5239198750000006	0.5147611125273628	-0.450499999999991	-0.9647499999999951	-0.1442500000000031	0.820499999999992	-1.5830333333333393	-0.04468333333333458	198	0	2	2.501776602005736e-56	-0.89313333333331	-0.03960000000000008
P1	200 mondes	1.0		SoH-RB2	200	-0.42212333333333335	-0.4438777083333331	-0.40075829166666654	0.15545741411939798	-0.41883333333333894	-0.5361666666666665	-0.3063333333333347	0.22983333333333178	-0.7081499999999948	-0.18196666666666844	200	0	0	1.2446030555722283e-60	-0.26124999999996135	-0.16328333333333447
P1	200 mondes	3.0		Recale-RB2	200	-0.9663300000000004	-1.1415353750000008	-0.7852084999999998	1.2848520831120551	-1.0609999999999928	-1.8652500000000014	-0.33199999999999363	1.5332500000000078	-3.056000000000002	1.910399999999997	164	0	36	1.0241023451092754e-20	-0.15654999999999575	1.7958000000000005
P1	200 mondes	3.0		Sched-Recale	200	-0.6335699999999996	-0.7814956249999992	-0.4871726250000005	1.0495406389770336	-0.38750000000000284	-1.4004999999999939	0.1824999999999939	1.5829999999999878	-2.4679500000000076	0.9163500000000006	142	0	58	2.579201364431011e-09	-0.9690000000000083	0.9247499999999992
P1	200 mondes	3.0		SoH-Sched	200	-0.71073	-0.7697399999999998	-0.6529191250000007	0.4239833919900843	-0.6840000000000046	-0.9715000000000025	-0.40350000000000463	0.5679999999999978	-1.5107000000000184	-0.09889999999999656	198	0	2	2.501776602005736e-56	-0.9302999999999599	-0.08454999999999942
P1	200 mondes	3.0		SoH-RB2	200	-2.3106299999999997	-2.378932625000001	-2.2438747499999994	0.48761463602555194	-2.1945000000000014	-2.7129999999999974	-1.9097500000000025	0.8032499999999949	-3.1372	-1.646649999999992	200	0	0	1.2446030555722283e-60	-2.055849999999964	-1.6382999999999988
P1	200 mondes	10.0		Recale-RB2	200	-12.305256666666669	-12.478283583333333	-12.125642291666667	1.2797273734784023	-12.413666666666643	-13.181583333333325	-11.726916666666696	1.454666666666629	-14.153216666666687	-9.53290000000001	200	0	0	1.2446030555722283e-60	-11.461199999999991	-9.5358
P1	200 mondes	10.0		Sched-Recale	200	4.500381666666668	4.354440000000003	4.645344458333334	1.0449809042933738	4.687166666666677	3.803500000000014	5.277833333333334	1.4743333333333197	2.639416666666675	5.920716666666647	0	0	200	1.2446030555722283e-60	4.184633333333323	6.003666666666667
P1	200 mondes	10.0		SoH-Sched	200	-1.115528333333332	-1.3181327083333338	-0.9136924999999975	1.4626352765785529	-0.9485000000000241	-2.1110000000000184	0.012916666666676235	2.1239166666666947	-3.6975333333333578	1.0596999999999892	149	0	51	2.5006948050908502e-12	-0.9730166666666378	1.0826833333333383
P1	200 mondes	10.0		SoH-RB2	200	-8.920403333333333	-9.164780916666665	-8.681843208333337	1.7461576516709787	-8.40849999999999	-10.414416666666703	-7.5675833333333316	2.8468333333333717	-11.945933333333297	-6.674000000000001	200	0	0	1.2446030555722283e-60	-8.249583333333305	-6.598233333333337
P3	T6m_marge1	1.0	0.5	rul-corrective	200	0.34302333333333307	0.20839370833333298	0.479682083333333	0.9887538104715162	0.2836666666666616	-0.1790000000000056	0.9184166666666691	1.0974166666666747	-1.5677833333333324	1.9328000000000058	60	5	135	8.138605037501731e-08	0.24890000000000612	2.262416666666666
P3	T6m_marge1	1.0	0.5	rul-calendar	200	-0.19986166666666688	-0.3950587916666669	-0.0045693749999989736	1.4130680225986245	0.0	-1.1938333333333357	0.782	1.9758333333333358	-2.5769166666666585	1.9328000000000058	95	10	95	1.0	-0.5540999999999912	2.220816666666666
P3	T6m_marge1	1.0	0.5	calendar-corrective	200	0.542885	0.42401062500000003	0.6693987916666657	0.8899771969283734	0.0	0.0	1.0654166666666747	1.0654166666666747	0.0	2.608666666666663	7	120	73	5.79510097338583e-15	0.8029999999999973	2.591550000000001
P3	T6m_marge1	1.0	1.5	rul-corrective	200	0.6880233333333331	0.2683598750000006	1.1196604166666662	3.061573832561907	0.3088333333333324	-0.2699166666666599	1.9880833333333285	2.2579999999999885	-5.77558333333332	6.266033333333327	64	5	131	1.8299205748631178e-06	0.5356166666666695	6.81935
P3	T6m_marge1	1.0	1.5	rul-calendar	200	-0.3298616666666668	-0.808878958333334	0.15651287500000066	3.5141556377323453	0.0	-2.233249999999998	1.8655833333333192	4.098833333333317	-6.536749999999988	6.070849999999981	97	10	93	0.8277787949824293	-1.098116666666641	6.414616666666669
P3	T6m_marge1	1.0	1.5	calendar-corrective	200	1.0178849999999997	0.7543254583333329	1.2888649166666664	1.9251887672672385	0.0	0.0	2.1841666666666697	2.1841666666666697	0.0	5.102033333333331	8	120	72	5.375095844566712e-14	1.6337333333333106	5.234166666666667
P3	T6m_marge1	1.0	3.0	rul-corrective	200	1.2055233333333337	0.34724479166666644	2.0631155416666673	6.246945606262688	0.3088333333333253	-0.2699166666666599	3.488083333333339	3.757999999999999	-11.775583333333321	12.341033333333316	64	5	131	1.8299205748631178e-06	0.8007666666667035	13.944350000000005
P3	T6m_marge1	1.0	3.0	rul-calendar	200	-0.5248616666666662	-1.4537936249999985	0.4354738333333331	6.8307108267712415	0.0	-3.8262500000000053	3.3839166666666642	7.2101666666666695	-12.537099999999995	12.070849999999982	97	10	93	0.8277787949824293	-1.9263666666666381	13.079416666666674
P3	T6m_marge1	1.0	3.0	calendar-corrective	200	1.7303849999999996	1.237339333333333	2.2438606249999995	3.612521169719598	0.0	0.0	3.6841666666666804	3.6841666666666804	0.0	8.323899999999972	8	120	72	5.375095844566712e-14	2.7271333333333416	9.470933333333335
P3	T6m_marge1	3.0	0.5	rul-corrective	200	-0.8779100000000006	-1.038630875	-0.7197593750000014	1.153351272461448	-0.7715000000000032	-1.5274999999999963	-0.15700000000000003	1.3704999999999963	-2.9939999999999953	0.5680999999999997	157	5	38	2.208528471272143e-18	-1.449799999999982	0.999799999999998
P3	T6m_marge1	3.0	0.5	rul-calendar	200	-1.096815	-1.2821420000000008	-0.914774	1.3283369588157132	-1.079500000000003	-1.9130000000000038	-0.15700000000000003	1.7560000000000038	-3.3861499999999913	0.5680999999999997	154	10	36	1.39390600800956e-18	-2.161599999999936	0.9653499999999984
P3	T6m_marge1	3.0	0.5	calendar-corrective	200	0.21890499999999946	0.09343437499999972	0.3479376249999992	0.9182620114013833	0.0	0.0	0.10599999999999454	0.10599999999999454	-0.8781999999999945	2.1964000000000055	25	120	55	0.0010527348573533444	0.711799999999954	2.318699999999999
P3	T6m_marge1	3.0	1.5	rul-corrective	200	-0.5329100000000009	-0.9339313750000015	-0.14441937500000074	2.8461913124093	-0.34250000000000824	-1.5632499999999965	0.8162499999999895	2.379499999999986	-6.775799999999992	4.3963499999999955	115	5	80	0.01468842721376509	-1.1013999999999555	4.5647
P3	T6m_marge1	3.0	1.5	rul-calendar	200	-1.2268150000000007	-1.6841312500000007	-0.7714155000000004	3.244061413265815	-1.088000000000001	-2.65475	0.5672500000000085	3.2220000000000084	-7.388099999999992	3.8989499999999953	126	10	64	8.085986468266502e-06	-2.5720499999999333	4.629499999999999
P3	T6m_marge1	3.0	1.5	calendar-corrective	200	0.6939049999999995	0.46103987499999927	0.933462374999999	1.6986794593161219	0.0	0.0	1.1352500000000028	1.1352500000000028	-0.8445000000000004	4.338700000000007	14	120	66	3.1365426901467503e-09	1.4706499999999778	4.558450000000001
P3	T6m_marge1	3.0	3.0	rul-corrective	200	-0.015409999999999471	-0.8307122499999993	0.8118956249999983	5.942590214222317	-0.22050000000000125	-1.837250000000008	2.3577499999999922	4.195	-12.775799999999993	10.952549999999993	105	5	90	0.31607312611901234	-0.550899999999956	11.457199999999997
P3	T6m_marge1	3.0	3.0	rul-calendar	200	-1.421814999999999	-2.3092173749999985	-0.5207055000000005	6.514878752253012	-1.088000000000001	-4.103000000000009	2.1302499999999966	6.233250000000005	-13.39214999999999	10.419399999999987	121	10	69	0.0001983761904488974	-3.162599999999941	11.173949999999996
P3	T6m_marge1	3.0	3.0	calendar-corrective	200	1.4064049999999995	0.9557795000000001	1.865719749999999	3.3047679079782606	0.0	0.0	3.011749999999985	3.011749999999985	-0.31025000000000075	7.920449999999977	12	120	68	1.201648635082027e-10	2.611699999999985	8.526099999999996
P3	T6m_marge1	10.0	0.5	rul-corrective	200	-5.151176666666671	-5.711962500000002	-4.611368250000002	3.990346312250578	-4.631333333333373	-7.145333333333326	-2.0778333333333308	5.0674999999999955	-13.486566666666663	-0.32103333333336914	194	5	1	7.806150364549016e-57	-7.950533333333311	-0.23716666666667835
P3	T6m_marge1	10.0	0.5	rul-calendar	200	-4.236151666666669	-4.768735291666671	-3.719311208333335	3.806399177252864	-3.3063333333333276	-6.330249999999985	-1.0743333333333283	5.255916666666657	-12.0231	0.0	186	10	4	6.849720557755361e-50	-8.316116666666687	0.1123999999999981
P3	T6m_marge1	10.0	0.5	calendar-corrective	200	-0.9150250000000005	-1.3280308333333324	-0.5388397500000014	2.8527563302878147	0.0	-0.44625000000000625	0.0	0.44625000000000625	-6.2371500000000015	1.598300000000034	55	120	25	0.0010527348573533444	0.365583333333376	1.9017166666666667
P3	T6m_marge1	10.0	1.5	rul-corrective	200	-4.806176666666671	-5.373271333333337	-4.239483791666672	4.1238209347736055	-4.282500000000013	-7.618500000000033	-1.677250000000008	5.941250000000025	-12.203283333333347	0.1743333333333619	184	5	11	1.2334209947574997e-41	-7.412499999999994	1.246983333333327
P3	T6m_marge1	10.0	1.5	rul-calendar	200	-4.366151666666671	-4.944997250000003	-3.790418666666671	4.203852252228643	-3.7865000000000038	-6.888499999999993	-1.6722499999999982	5.216249999999995	-11.581499999999965	0.9822166666666449	174	10	16	1.0093611126911524e-34	-8.393516666666642	1.9101166666666622
P3	T6m_marge1	10.0	1.5	calendar-corrective	200	-0.4400250000000006	-0.8165541250000005	-0.08097133333333442	2.669939303182241	0.0	0.0	0.0	0.0	-5.423750000000041	3.381350000000002	47	120	33	0.1456354544029827	0.9810166666666476	3.7080999999999973
P3	T6m_marge1	10.0	3.0	rul-corrective	200	-4.288676666666671	-5.12098041666667	-3.469079000000007	5.973955719728181	-3.5078333333333376	-6.870250000000034	-0.7380833333333356	6.1321666666666985	-16.306300000000014	1.7043166666666807	165	5	30	8.741545923616698e-24	-6.744700000000023	5.073633333333333
P3	T6m_marge1	10.0	3.0	rul-calendar	200	-4.561151666666669	-5.445268374999999	-3.6824078333333374	6.420938404137173	-3.8876666666666324	-7.58741666666667	-0.4615833333333299	7.12583333333334	-17.46885000000002	5.516416666666647	160	10	30	1.2100016704877432e-22	-8.496800000000036	6.408416666666663
P3	T6m_marge1	10.0	3.0	calendar-corrective	200	0.2724749999999992	-0.18319183333333386	0.7149756666666646	3.2537102715082793	0.0	0.0	0.0	0.0	-5.4243500000000395	5.891150000000029	31	120	49	0.05666442634512114	1.7521000000000129	6.7063000000000015
